"lat","lon","bearing","velocity","point_datetime","video_creation_date","device_id","video_id"
"55.8701954","49.2262952","127.01844787597656","9.259483337402344","2023-06-19 06:01:05.198+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8701417","49.2264214","127.9662857055664","9.707413673400879","2023-06-19 06:01:06.186+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8700859","49.2265447","127.98617553710938","9.469428062438965","2023-06-19 06:01:07.178+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8700311","49.226666","126.1199951171875","9.523770332336426","2023-06-19 06:01:08.185+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8699779","49.2267909","127.76268768310547","9.709774017333984","2023-06-19 06:01:09.177+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8699236","49.2269174","126.13705444335938","9.70807933807373","2023-06-19 06:01:10.184+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.869872","49.2270428","125.98033142089844","9.23421573638916","2023-06-19 06:01:11.178+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8698233","49.2271594","125.94793701171875","8.371304512023926","2023-06-19 06:01:12.183+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8697797","49.2272611","126.86357116699219","7.287580966949463","2023-06-19 06:01:13.192+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8697403","49.2273473","129.69631958007812","6.228498935699463","2023-06-19 06:01:14.183+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.869705","49.2274152","129.0157470703125","5.334809303283691","2023-06-19 06:01:15.177+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8696715","49.2274736","127.09925079345703","4.931793689727783","2023-06-19 06:01:16.182+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8696463","49.2275318","121.26758575439453","4.153265953063965","2023-06-19 06:01:17.19+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8696324","49.227567","126.37684631347656","3.669757843017578","2023-06-19 06:01:18.181+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8696098","49.2276181","130.66824340820312","3.1282503604888916","2023-06-19 06:01:19.194+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8695894","49.2276565","125.31621551513672","2.978294849395752","2023-06-19 06:01:20.2+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8695723","49.2276951","128.66488647460938","2.5945916175842285","2023-06-19 06:01:21.207+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.869557","49.2277234","133.56610107421875","1.8851630687713623","2023-06-19 06:01:22.199+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8695464","49.2277437","133.9392852783203","1.29399836063385","2023-06-19 06:01:23.207+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.869538","49.2277593","0.0","0.050464462488889694","2023-06-19 06:01:24.198+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8695336","49.2277691","0.0","0.001726377522572875","2023-06-19 06:01:25.209+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
"55.8695289","49.2277812","0.0","0.000313991418806836","2023-06-19 06:01:26.2+00","2023-06-19 06:00:45.296+00","32e59c906a958812","1687154445296"
